Time,BLOCK1:ZONE3 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 1:Des Heat Cap [W],BLOCK1:ZONE3 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK1:ZONE3 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK1:ZONE3 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 2:Des Heat Cap [W],BLOCK1:ZONE3 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK1:ZONE3 AHU:DesPer 2:Des Tot Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 1:Des Heat Cap [W],BLOCK1:ZONE7 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 2:Des Heat Cap [W],BLOCK1:ZONE7 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 2:Des Tot Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 1:Des Heat Cap [W],BLOCK1:ZONE6 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 2:Des Heat Cap [W],BLOCK1:ZONE6 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 2:Des Tot Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 1:Des Heat Cap [W],BLOCK6:ZONE1 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 2:Des Heat Cap [W],BLOCK6:ZONE1 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 2:Des Tot Cool Cap [W]
11:00:00,0.000000E+00,0.000000E+00,2.066954E+05,4.938497E+07,6.701393E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.030939E-01,1.367366E+03,1.772006E+03,2.584955E-02,8.312079E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.878667E-05,6.455968E-01,8.438926E-01,8.477963E-01,2.727933E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.002379E-02,1.061404E+03,1.224630E+03,5.245845E+00,1.687988E+05,0.000000E+00,0.000000E+00,0.000000E+00
12:00:00,0.000000E+00,0.000000E+00,1.707857E+05,4.450692E+07,5.875727E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.148208E-01,1.522888E+03,1.914467E+03,2.585252E-02,8.313035E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.460583E-04,1.932933E+00,2.519179E+00,8.477974E-01,2.727936E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.034635E-01,1.372305E+03,1.507944E+03,5.245847E+00,1.687989E+05,0.000000E+00,0.000000E+00,0.000000E+00
13:00:00,0.000000E+00,0.000000E+00,1.797197E+05,5.177188E+07,6.927387E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.267585E-01,1.681204E+03,2.065344E+03,2.585541E-02,8.313965E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.331163E-04,9.713428E+00,1.283444E+01,8.477984E-01,2.727940E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.277119E-01,1.693931E+03,1.822547E+03,5.245850E+00,1.687990E+05,0.000000E+00,0.000000E+00,0.000000E+00
14:00:00,0.000000E+00,0.000000E+00,8.890823E+04,3.385024E+07,4.691165E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.383965E-01,1.835496E+03,2.217653E+03,2.585822E-02,8.314868E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.514226E-03,2.008394E+01,2.655401E+01,8.477994E-01,2.727943E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.506390E-01,1.998010E+03,2.129352E+03,5.245852E+00,1.687991E+05,0.000000E+00,0.000000E+00,0.000000E+00
15:00:00,0.000000E+00,0.000000E+00,2.310564E+04,6.076220E+06,6.732136E+06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.486664E-01,1.971576E+03,2.352669E+03,2.586095E-02,8.315746E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.972902E-03,2.616847E+01,3.450341E+01,8.478004E-01,2.727946E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.705351E-01,2.261856E+03,2.397629E+03,5.245855E+00,1.687991E+05,0.000000E+00,0.000000E+00,0.000000E+00
16:00:00,0.000000E+00,0.000000E+00,5.486925E+03,2.688155E+05,2.923076E+05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.564767E-01,2.075002E+03,2.460677E+03,2.586360E-02,8.316600E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.735780E-03,3.628682E+01,4.750712E+01,8.478013E-01,2.727949E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.842663E-01,2.443923E+03,2.584254E+03,5.245857E+00,1.687992E+05,0.000000E+00,0.000000E+00,0.000000E+00
17:00:00,0.000000E+00,0.000000E+00,2.434605E+04,6.281215E+06,9.999510E+06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.615321E-01,2.142121E+03,2.504838E+03,2.586619E-02,8.317431E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.756026E-03,6.308264E+01,8.054818E+01,8.478022E-01,2.727952E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.865453E-01,2.474185E+03,2.604987E+03,5.245860E+00,1.687993E+05,0.000000E+00,0.000000E+00,0.000000E+00
18:00:00,0.000000E+00,0.000000E+00,8.756803E+04,3.469288E+07,4.198456E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.777546E-01,2.357531E+03,2.708284E+03,2.586870E-02,8.318239E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.587986E-03,1.006459E+02,1.245572E+02,8.478030E-01,2.727954E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.765476E-01,2.341676E+03,2.459207E+03,5.245862E+00,1.687994E+05,0.000000E+00,0.000000E+00,0.000000E+00
19:00:00,0.000000E+00,0.000000E+00,1.462000E+05,4.423911E+07,5.819941E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.947271E-01,2.582730E+03,2.947793E+03,2.587114E-02,8.319025E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.044781E-03,1.199693E+02,1.441597E+02,8.478038E-01,2.727957E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.598335E-01,2.120017E+03,2.219721E+03,5.245864E+00,1.687994E+05,0.000000E+00,0.000000E+00,0.000000E+00
20:00:00,0.000000E+00,0.000000E+00,1.140615E+05,3.521613E+07,4.628607E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.944700E-01,2.579291E+03,2.940555E+03,2.587352E-02,8.319789E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.026870E-03,1.197316E+02,1.407337E+02,8.478046E-01,2.727960E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.432837E-01,1.900503E+03,1.983693E+03,5.245866E+00,1.687995E+05,0.000000E+00,0.000000E+00,0.000000E+00
21:00:00,0.000000E+00,0.000000E+00,1.020322E+05,3.102700E+07,4.065797E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.892579E-01,2.510155E+03,2.865112E+03,2.587584E-02,8.320533E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.116420E-03,1.209195E+02,1.408873E+02,8.478053E-01,2.727962E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.293714E-01,1.715975E+03,1.786283E+03,5.245869E+00,1.687996E+05,0.000000E+00,0.000000E+00,0.000000E+00
22:00:00,0.000000E+00,0.000000E+00,8.956529E+04,3.335957E+07,4.736125E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.846247E-01,2.448652E+03,2.798989E+03,2.587809E-02,8.321257E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.995667E-03,1.193175E+02,1.376483E+02,8.478060E-01,2.727964E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.172344E-01,1.554990E+03,1.611985E+03,5.245871E+00,1.687996E+05,0.000000E+00,0.000000E+00,0.000000E+00
23:00:00,0.000000E+00,0.000000E+00,5.134928E+04,1.290474E+07,1.411443E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.801034E-01,2.388582E+03,2.735139E+03,2.588028E-02,8.321961E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.190215E-03,1.086335E+02,1.247477E+02,8.478067E-01,2.727966E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.066743E-01,1.414919E+03,1.462978E+03,5.245873E+00,1.687997E+05,0.000000E+00,0.000000E+00,0.000000E+00
24:00:00,0.000000E+00,0.000000E+00,3.679770E+04,2.885678E+06,4.297613E+06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.751071E-01,2.322217E+03,2.740801E+03,2.588241E-02,8.322647E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.520046E-03,9.974391E+01,1.191019E+02,8.478074E-01,2.727969E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.763846E-02,1.295060E+03,1.356716E+03,5.245875E+00,1.687998E+05,0.000000E+00,0.000000E+00,0.000000E+00
Coinc Peak   ,0.000000E+00,2.066954E+05,0.000000E+00,4.938497E+07,2.588241E-02,2.652814E-01,8.322647E+02,3.516675E+03,8.478074E-01,9.116420E-03,2.727969E+04,1.209195E+02,5.245875E+00,1.865453E-01,1.687998E+05,2.474185E+03
NonCoinc Peak,0.000000E+00,2.066954E+05,0.000000E+00,4.938497E+07,2.588241E-02,2.652814E-01,8.322647E+02,3.516675E+03,8.478074E-01,9.116420E-03,2.727969E+04,1.209195E+02,5.245875E+00,1.865453E-01,1.687998E+05,2.474185E+03
