Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Outdoor Air Enthalpy [J/kg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK5:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK3:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK2:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK5:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK3:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK2:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 09/07  03:00:00,12.4,92.,1.6,90.,0.0,0.0,33452.1056552699,1.20892905728425,0.0,19.4232896862941,18.7016551601177,19.0098316472658,24.4906938470906,19.4333482451541,24.4301640494079,23.1691595503507,20.9581008221965,15.9390053870085,22.6018301838653,16.9735139391447,-0.894413771006562,-1.0972891999807,-3.26189966671047,-0.188875479378564,-3.10932716152639,0.350855821567157,-0.218734447409662,-0.550290014139125,-1.70086955151424,-0.181346997356688,-1.42853520827943 
 09/07  04:00:00,11.8,94.,1.7,90.,0.0,0.0,32460.1033056079,1.21176405654,0.0,19.3772527674509,18.5322679042491,19.4179323371889,24.3542773578471,19.3796749599024,24.2189060756829,23.0416373860224,20.872919555765,15.3785001386276,22.3673105243719,16.3562914927303,-0.902187057266104,-1.14314550130812,-3.3462570692137,-0.214101951173147,-3.14434412612816,0.280383205586977,-0.234399153787259,-0.580000323383768,-1.84335325015528,-0.236795990369786,-1.58572016079251 
 09/07  05:00:00,11.2,96.,1.8,90.,0.0,0.0,31462.2690869623,1.21461587397873,0.0,19.336661835177,18.3362689219196,19.1030284314808,24.203235425239,19.0054620544166,24.0104785364443,22.9034178253066,20.7438403799457,14.843508900338,22.1331931096767,15.772620241831,-0.911332961637721,-1.18663012711963,-3.25434986624661,-0.247387065283341,-3.15224535679926,0.213067881558338,-0.254212957160312,-0.602927585294494,-1.97897547544892,-0.292442611249648,-1.73337868280871 
 09/07  06:00:00,10.6,98.,1.9,90.,0.0,0.0,30459.5765620902,1.21748388295444,0.0,19.2919869549126,18.1362358924089,18.5758165856255,24.06155070278,19.413612595723,23.8205267718281,22.7625291993163,20.6213345882077,14.3425434864202,21.906578877227,15.2280973035666,-0.920617771683669,-1.23396877290047,-3.33349551924254,-0.284648065044352,-3.2513733802294,0.146320688563301,-0.279671426237547,-0.633010572147732,-2.10846282968247,-0.348282923618571,-1.87252547538501 
 09/07  07:00:00,10.,100.,2.,90.,0.0,0.0,29452.9453293992,1.22036749034338,0.0,19.2458491811617,17.9595592257776,18.6867526494089,23.9052073961336,19.3009526179695,23.6246454563389,22.6139684559949,20.5253132106204,13.8697953811178,21.682641880973,14.6921284758385,-0.931313196198963,-1.28385748092733,-3.48673099375445,-0.321551516771904,-3.2047931203525,8.245038190759142E-02,-0.307974781965374,-0.663507753302563,-2.23236134713717,-0.403301030359904,-2.00462513020593 
 09/07  08:00:00,12.5,94.,2.,90.,39.,403.,34181.9856197419,1.20682589538706,0.0,19.3958242982503,18.3902658063997,19.4303856192389,22.9926104035689,19.6395037380767,23.1774971912028,22.0701454173049,21.5575502916762,15.5946438551312,21.0464775845741,19.3965882423714,-0.942246793780004,-1.30626402283789,-3.46022642440385,-0.352807542868432,-3.23886168043615,9.612212869217163E-02,-0.322399740574844,-0.677574213716905,-2.15184432148727,-0.429574851678537,-1.76889546799491 
 09/07  09:00:00,15.,82.,2.,140.,65.,670.,37313.0887602271,1.19592102740742,0.0,19.5280209594651,18.3029021777282,19.5589338530156,20.5709408489913,19.6260059691454,21.4595131111501,18.9573065692887,20.369953521593,18.0959678449875,21.3534669646637,22.9556177480233,-0.918915913930576,-1.2279644658701,-3.27634846669429,-0.497388653894921,-3.12643748559623,0.156778636448054,-0.38891993798544,-0.517754230066276,-1.60609620702987,-0.498442490411572,-0.461987972217719 
 09/07  10:00:00,17.5,72.,2.,140.,87.,757.,40563.5357952135,1.18393559874184,0.0,19.673697569812,18.6884687352979,19.978526060678,21.3466842992424,20.0198618502057,22.3107070246583,19.8416147248502,20.7419012605488,20.6435550191071,22.3273343115214,25.7413052184768,-0.897618567789,-1.21597951568326,-3.22244148614526,-0.857242959292127,-3.09385604536908,9.352599510264854E-02,-0.804347586747212,-0.660294763956504,-0.854420881105422,-0.41325682795062,0.616035016180183 
 09/07  11:00:00,20.,64.,2.,140.,102.,839.,44037.1813861376,1.1731655098893,0.0,19.799982577451,19.1696728524875,21.2093735771638,22.212512434069,21.2817750452536,23.3714294344875,20.2989616981,21.617744277954,23.1770977220743,23.6195024435621,28.1912870827624,-0.872871672932056,-1.12879012557302,-3.10997411118267,-0.681816391418336,-2.99024752652163,0.44300755641642,-0.670620348687677,-0.584955796259233,-3.242923824359926E-02,-0.17620558535467,1.51627554147256 
 09/07  12:00:00,22.5,57.,2.,140.,111.,879.,47550.5031924783,1.16139182151172,0.0,19.9036684494918,19.9886750303354,21.6089889541042,23.9122880814929,22.1834718327748,25.0998674999501,22.4517749868333,23.3725728506072,27.0275484936571,25.3342767739095,30.7007977532206,-0.849965553633297,-1.02133624154544,-2.81965145636996,-0.479630618671003,-2.69637224387926,0.79183265526884,-0.576646592512284,-0.424357592893472,0.813573249089725,0.126847406749706,2.3108471633437 
 09/07  13:00:00,25.,50.,2.,140.,114.,883.,50606.5334535579,1.15129701454342,0.0,19.9770973663511,20.757661328817,21.9629302301618,25.4112220061802,22.4352275485886,26.614138752279,23.8701077522896,24.983658461011,30.0460923237373,26.9443983185458,32.8534643678758,-0.830406198759384,-0.860049236709824,-2.70308409627624,-0.139645367487928,-2.46954192194702,1.2165811408961,-0.23858427974623,-0.127649463504573,1.79162623419721,0.504055601626651,3.04582798598582 
 09/07  14:00:00,27.5,45.,2.,140.,112.,871.,54313.1213381433,1.13977177262486,0.0,19.9767059757401,20.7974330124085,22.0577951454728,26.9331163606558,22.5775388869537,28.2077217771759,23.2186648148528,24.0459727582799,32.8648539299371,25.9554953798368,41.5032246949613,-0.812451788241828,-0.690966350069856,-2.58609073002911,0.17157361024337,-2.37071080277909,1.58921332638082,-4.664491139087124E-04,0.162190207060931,2.53866026262003,0.859507338010398,3.61286566350372 
 09/07  15:00:00,30.,40.,2.,50.,103.,847.,57620.3566130212,1.12985071318622,0.0,20.0975093692566,21.4441218716744,22.4319513149692,27.5058776313761,22.9619342321047,28.8356904375728,23.8066951141188,24.8750074237002,33.8034361937584,26.9303660788044,44.7751337033788,-0.806051850406471,-0.624283845195853,-2.52320139094285,0.468939752738874,-2.29338528990086,1.92955812647992,-5.576386634535196E-02,7.230487256270840E-02,3.14302397228332,0.809138222778001,5.18504003772487 
 09/07  16:00:00,28.7,45.,1.9,50.,89.,791.,57509.8290114795,1.13385959009172,0.0,20.1117551177511,21.6322333250223,22.5739930878811,27.8153153983757,23.1226035253889,29.0972113790279,23.9560785869368,24.6615279813479,33.2579332490181,27.46126487435,46.7702171709257,-0.781464040581662,-0.47287328269007,-2.4044971169176,0.616943602563585,-2.16845182765922,2.02904622126813,5.223558793933675E-02,0.23076631007739,3.28173499594648,1.01863876311826,5.89920712058757 
