26.7,1,140,60,0,0,61117.713536588,1.13061208692098,0,0.0899511688246459,-0.245182884156789,0.243189284116929,26.4845836963979,26.8630572111349,26.811284023381,1,1,1,1,1,1
27.2,0.8,140,57,0,0,60873.0825614725,1.12925896917306,0,0.172908176320829,-0.129183408535259,0.319054595958955,27.005683636962,27.2665291546375,27.2923624431824,1,1,1,1,1,1
27.8,0.7,140,54,0,0,60880.8466532913,1.12629740967768,0,0.279590679349267,-0.0341365808851286,0.407868165107718,27.2776576700626,27.6857782699616,27.6218058415892,1,1,1,1,1,1
28.3,0.5,140,51,0,0,60465.8345163947,1.12507427241046,0,0.348332110659014,0.0761860260550477,0.479936639046254,27.4121904422318,27.8616566308113,27.9775575266247,1,1,1,1,1,1
28.9,0.3,140,49,0,0,60913.2664938633,1.12295679179298,0,0.393351781273692,0.140540104779612,0.549916987823186,27.6964519399085,28.2030859443417,28.5404932260264,1,1,1,1,1,1
29.4,0.2,140,47,0,0,61014.1620557741,1.12138669062722,0,0.46419630137984,0.23099763518901,0.680950928521646,27.9243799352385,28.5064644682967,28.9915319945358,1,1,1,1,1,1
30,0,0,44,0,0,60637.6911650353,1.11985300381725,0,0.526580541617536,0.322777904720799,0.796224088013748,28.4789941017118,29.0628616823872,29.4658971230832,1,1,1,1,1,1
29.3,0.6,0,48,102,102,61405.8380011241,1.12141537103037,0,0.672194284975686,0.466661411492275,0.929877717784245,28.3408842954913,28.6571095822954,29.0068748785524,1,1,1,1,1,1
28.7,1.8,0,51,78,176,61645.347024941,1.12305103334282,0,0.699171951741915,0.414392163529091,0.90829719175269,28.2912582408905,28.5014693641296,28.6373030777464,1,1,1,1,1,1
28,3,50,55,84,371,62147.0287866417,1.12368078251099,0,0.794612658372257,0.461566328857503,0.940524837903796,28.1060093904411,28.0249531673946,28.0352727373363,1,1,1,1,1,1
27.3,4.2,50,59,146,481,62459.5162597926,1.12558138319663,0,0.871531714219013,0.446381319232791,0.934494504958179,27.9832922328805,27.6116832291081,27.417594454591,1,1,1,1,1,1
26.7,5.4,50,63,135,466,62982.682203925,1.12590417421455,0,0.911953002576816,0.40652707412245,0.877189743511026,27.8457648429857,27.2896334746968,26.8545884350039,1,1,1,1,1,1
26,6.6,50,67,30,327,63017.3684364312,1.12801254369591,0,0.886464167764505,0.334702376986716,0.774186720134256,27.2861032678927,26.6384719359921,26.1685275265553,1,1,1,1,1,1
25.3,7.8,50,72,43,485,63462.5171364423,1.12984491249705,0,0.83687498884428,0.238204135435762,0.662265893703584,26.5296202257947,25.7593721440864,25.4762094331553,1,1,1,1,1,1
24.7,9,50,77,55,379,64125.3676342241,1.13008509317631,0,0.712726040667786,0.0571625693752394,0.507669949565644,26.0331903828763,25.1765754085954,24.869861424016,1,1,1,1,1,1
24,10.2,270,83,5,297,64757.8653870846,1.13180141180383,1,0.520944795045991,-0.103909212446194,0.308500769876949,25.3296561675267,24.4297356679294,24.7221813561026,1,1,1,1,1,1
23.5,8.9,270,83,12,280,63006.2711098632,1.13457174433518,0,0.441792136229422,-0.273106956086323,0.212132262654523,24.9901371505756,24.0304643347803,24.3314838427708,1,1,1,1,1,1
23,7.6,270,83,18,294,61289.4428205057,1.1373289769356,0,0.369537258858594,-0.396493479976186,0.0903382244222027,24.4674982826853,23.5669866965903,23.7715138363455,1,1,1,1,1,1
22.5,6.3,270,83,16,136,59568.2895019922,1.14125206628881,0,0.184615429480692,-0.567529255081375,-0.0995618037264096,24.2048306253514,23.2594339320492,23.5322761955904,1,1,1,1,1,1
22,5.1,270,83,0,34,57919.5709834328,1.14398637327982,0,0.0386326996633425,-0.699403148919722,-0.226480544620213,23.7778346971519,22.9217792053324,23.1193375685222,1,1,1,1,1,1
21.5,3.8,270,83,0,0,56302.9927749133,1.14670885347586,0,-0.136467093616343,-0.838484079872369,-0.393069306729939,23.7671749895778,23.0039671581377,23.2819961848097,1,1,1,1,1,1
21,2.5,270,83,0,0,54717.7344929969,1.1494199177206,0,-0.20165669593956,-0.869762913665357,-0.417901316606964,23.5809879091797,22.7637930883448,23.1080460920327,1,1,1,1,1,1
20.4,2.4,270,85,0,0,53617.5728902809,1.15327653621054,0,-0.297655870916418,-0.9716823538832,-0.508437135648212,22.9775357308967,22.2053908394209,22.5125179272123,1,1,1,1,1,1
19.9,2.3,270,87,0,0,52844.4913952541,1.15542960010257,0,-0.484010157804101,-1.15200155625164,-0.695613835085948,22.7518069862505,21.8303881001022,22.2350077842845,1,1,1,1,1,1
19.3,2.2,270,88,0,0,51339.3395307215,1.15960643170136,0,-0.585906389046322,-1.28150825541743,-0.806374289027588,22.1830842375141,21.31843285304,21.6337465059282,0,1,1,1,1,1
18.8,2.1,270,90,0,0,50509.6643079376,1.16299023171126,0,-0.755544123282563,-1.45490236885415,-0.985370196557789,21.7658939249326,20.8897316879831,21.2305318001761,0,1,1,1,1,1
18.2,1.9,270,92,0,0,49393.3006292872,1.16574738727898,0,-0.901955979784965,-1.60621718999359,-1.13001667023156,24.6933513770178,20.202944329351,20.6267846561106,1,1,1,1,1,1
17.7,1.8,270,94,0,0,48533.7020939918,1.16917777611322,0,-0.37372820115338,-1.81475688572725,-1.31471193751686,24.394536402926,19.7159649099636,20.2757263312459,1,1,1,1,1,1
17.1,1.7,270,96,0,0,47362.3399059567,1.17317752242419,0,-0.467249231410614,-1.98199878678565,-1.44686011987049,20.2559953180094,19.501521507669,19.8158421778247,1,1,1,1,1,1
